time_s,cmd_x,cmd_y,actual_x,actual_y
21.614802,596.639,0.000,600.770,4.131
21.665805,589.916,0.000,594.047,4.131
21.717005,583.193,0.000,587.324,4.131
21.767697,576.471,0.000,580.602,4.131
21.818980,569.748,0.000,573.879,4.131
21.869745,563.025,0.000,567.156,4.131
21.921006,556.303,0.000,560.434,4.131
21.972293,549.580,0.000,553.711,4.131
22.023682,542.857,0.000,546.988,4.131
22.075485,536.134,0.000,540.266,4.131
22.126573,529.412,0.000,533.543,4.131
22.178160,522.689,0.000,526.820,4.131
22.229638,515.966,0.000,520.098,4.131
22.280860,509.244,0.000,513.375,4.131
22.332244,502.521,0.000,506.652,4.131
22.383557,495.798,0.000,499.929,4.131
22.434633,489.076,0.000,493.207,4.131
22.485861,482.353,0.000,486.484,4.131
22.537266,475.630,0.000,479.761,4.131
22.588136,468.908,0.000,473.039,4.131
22.639237,462.185,0.000,466.316,4.131
22.690747,455.462,0.000,459.593,4.131
22.741716,448.739,0.000,452.871,4.131
22.793764,442.017,0.000,446.148,4.131
22.845069,435.294,0.000,439.425,4.131
22.896321,428.571,0.000,432.703,4.131
22.947358,421.849,0.000,425.980,4.131
22.998381,415.126,0.000,419.257,4.131
23.049337,408.403,0.000,412.534,4.131
23.100397,401.681,0.000,405.812,4.131
23.151582,394.958,0.000,399.089,4.131
23.203450,388.235,0.000,392.366,4.131
23.254430,381.513,0.000,385.644,4.131
23.305655,374.790,0.000,378.921,4.131
23.356836,368.067,0.000,372.198,4.131
23.408388,361.345,0.000,365.476,4.131
23.459822,354.622,0.000,358.753,4.131
23.511276,347.899,0.000,352.030,4.131
23.562608,341.176,0.000,345.308,4.131
23.614357,334.454,0.000,338.585,4.131
23.665571,327.731,0.000,331.862,4.131
23.716568,321.008,0.000,325.140,4.131
23.767400,314.286,0.000,318.417,4.131
23.818236,307.563,0.000,311.694,4.131
23.869775,300.840,0.000,304.971,4.131
23.920916,294.118,0.000,298.249,4.131
23.971906,287.395,0.000,291.526,4.131
24.023054,280.672,0.000,284.803,4.131
24.074087,273.950,0.000,278.081,4.131
24.125174,267.227,0.000,271.358,4.131
24.176644,260.504,0.000,264.635,4.131
24.227555,253.782,0.000,257.913,4.131
24.278442,247.059,0.000,251.190,4.131
24.329786,240.336,0.000,244.467,4.131
24.381301,233.613,0.000,237.745,4.131
24.432392,226.891,0.000,231.022,4.131
24.483653,220.168,0.000,224.299,4.131
24.534802,213.445,0.000,217.577,4.131
24.585963,206.723,0.000,210.854,4.131
24.636951,200.000,0.000,204.131,4.131
24.688381,200.000,400.000,200.000,400.000
24.689207,200.000,0.000,200.000,4.131
24.715652,206.723,0.000,203.961,4.131
24.741575,213.445,0.000,209.720,4.131
24.767550,220.168,0.000,216.135,4.131
24.793411,226.891,0.000,222.777,4.131
24.819461,233.613,0.000,229.482,4.131
